,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,concave points_worst,0.9005847953216374,0.9036984443504475,0.9005847953216374,0.901344601449761,837.5539779663086,0.8285878394171976,12290
1,concave points_mean,0.9181286549707602,0.9179751841204068,0.9181286549707602,0.9175017122385544,988.6479377746582,0.7118411809047481,16723
2,area_worst,0.9181286549707602,0.9189640768588136,0.9181286549707602,0.9184133511246797,1009.4549655914307,0.6122995511405074,20301
3,perimeter_worst,0.9473684210526315,0.9489084880413376,0.9473684210526315,0.9478045766404475,1053.7829399108887,0.6052402258686415,23697
4,radius_worst,0.9239766081871345,0.9252011795871444,0.9239766081871345,0.9228350196182533,1104.011058807373,0.5674318915246513,27069
5,area_se,0.9473684210526315,0.9484334400870142,0.9473684210526315,0.9475969145757922,1137.79878616333,0.4531232784090138,30448
6,texture_mean,0.9239766081871345,0.9242502064575907,0.9239766081871345,0.9240805362689019,1208.8820934295654,0.4155408786961274,33823
7,texture_worst,0.9707602339181286,0.970741446685249,0.9707602339181286,0.9707155394400037,1433.1879615783691,0.41283222961237503,37188
8,concavity_worst,0.9766081871345029,0.9767293609398873,0.9766081871345029,0.9765227773855901,1547.40309715271,0.23884221628402566,41197
9,concavity_mean,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515,1640.002727508545,0.22077106898657217,45475
10,area_mean,0.9766081871345029,0.9766081871345029,0.9766081871345029,0.9766081871345029,1713.4268283843994,0.21655721700743763,48991
11,radius_mean,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,1757.594347000122,0.2025940833918599,52348
12,radius_se,0.935672514619883,0.9377842755035736,0.935672514619883,0.9350569405971068,1873.0027675628662,0.17825515738441963,56254
13,perimeter_se,0.9473684210526315,0.9478141491941234,0.9473684210526315,0.9466116299334674,1931.838035583496,0.14405802559035344,59651
14,smoothness_worst,0.9707602339181286,0.9715731817807429,0.9707602339181286,0.9708597135773362,2029.4461250305176,0.1429755163343975,63640
15,symmetry_worst,0.9707602339181286,0.9707233549338813,0.9707602339181286,0.9707055617553789,2050.24790763855,0.1254483308632013,67558
16,perimeter_mean,0.9532163742690059,0.9567808409913673,0.9532163742690059,0.9528061076784371,2120.073080062866,0.11625783416872021,70954
17,concave points_se,0.9649122807017544,0.9649840137727496,0.9649122807017544,0.9648078832785884,2217.215061187744,0.0902737895284231,75638
18,compactness_worst,0.9883040935672515,0.9885186973550083,0.9883040935672515,0.9882654166279896,2263.727903366089,0.08100298942336619,79646
19,compactness_mean,0.9473684210526315,0.9480348544676029,0.9473684210526315,0.9467785861453882,2312.770128250122,0.08092830066178937,83902
20,smoothness_mean,0.9707602339181286,0.9707501075922129,0.9707602339181286,0.9707202615789872,2295.384168624878,0.06925192222572886,88194
21,concavity_se,0.9649122807017544,0.9648310859794114,0.9649122807017544,0.9647144822841416,2355.7257652282715,0.06165851160656763,92700
22,compactness_se,0.9649122807017544,0.9667753454432543,0.9649122807017544,0.9645279368316471,2442.660093307495,0.05830325995095197,97282
23,symmetry_se,0.9766081871345029,0.9774148013712443,0.9766081871345029,0.9764029957935775,2391.9661045074463,0.056745379899832325,101785
24,texture_se,0.9824561403508771,0.9829219065362521,0.9824561403508771,0.9823530072874087,2493.104934692383,0.03606331995208844,105366
25,symmetry_mean,0.9298245614035088,0.9307479224376731,0.9298245614035088,0.9301460172169554,2555.011987686157,0.0308159516335569,109303
26,fractal_dimension_worst,0.9766081871345029,0.9774148013712443,0.9766081871345029,0.9764029957935775,2877.973794937134,0.029537651464713332,113740
27,fractal_dimension_se,0.9649122807017544,0.9649741638045731,0.9649122807017544,0.9648021191998689,3395.3428268432617,0.02411454693383826,118812
28,fractal_dimension_mean,0.9532163742690059,0.953228256902537,0.9532163742690059,0.9530847320321005,2593.6880111694336,0.022649642725679188,123318
29,smoothness_se,0.9707602339181286,0.9709096219308315,0.9707602339181286,0.9708002062572699,2653.404951095581,0.013617780271728296,128323
