,feature_name,importance_value
27,concave points_worst,0.7402440697228528
22,perimeter_worst,0.6691286519493631
20,radius_worst,0.658063427290771
23,area_worst,0.610135317658648
7,concave points_mean,0.5902755219118588
21,texture_worst,0.352823332856468
26,concavity_worst,0.3371848238787314
1,texture_mean,0.30724479539218685
13,area_se,0.3033405138411999
3,area_mean,0.2853313232069898
0,radius_mean,0.2559723957748627
6,concavity_mean,0.24386747019866747
2,perimeter_mean,0.21195765228364166
24,smoothness_worst,0.1822159625938036
28,symmetry_worst,0.139772744892976
25,compactness_worst,0.11414488984269573
12,perimeter_se,0.11065970602998401
10,radius_se,0.10724019934411495
4,smoothness_mean,0.06367507699116755
29,fractal_dimension_worst,0.059282496102223206
5,compactness_mean,0.05538750756946035
8,symmetry_mean,0.0480011161884753
15,compactness_se,0.04722513259421599
16,concavity_se,0.04689807711032533
17,concave points_se,0.03936383709878717
9,fractal_dimension_mean,0.028292169907140667
18,symmetry_se,0.028098710294908368
14,smoothness_se,0.027675226942480334
11,texture_se,0.022075148420842836
19,fractal_dimension_se,0.021248652392232406
