,feature_name,importance_value
27,concave points_worst,26.56618633199151
22,perimeter_worst,24.92234532394714
23,area_worst,22.120228982337125
7,concave points_mean,19.327713176483734
20,radius_worst,18.165788164104114
3,area_mean,11.098553190860448
2,perimeter_mean,10.244782351218793
0,radius_mean,9.617429608286177
26,concavity_worst,8.732640738837809
6,concavity_mean,7.201295258284515
13,area_se,7.070464509183726
21,texture_worst,4.3642843424973945
25,compactness_worst,4.340139926101529
1,texture_mean,3.9776489351526014
10,radius_se,3.863065705405958
24,smoothness_worst,3.463268761878506
28,symmetry_worst,2.9414797285307395
12,perimeter_se,2.334336412872375
5,compactness_mean,2.0782695518043424
16,concavity_se,2.0438865321668085
4,smoothness_mean,1.2668882463274858
18,symmetry_se,0.9356419260351414
15,compactness_se,0.8320270069097653
9,fractal_dimension_mean,0.7716699128850568
14,smoothness_se,0.7189234551195871
11,texture_se,0.6957539729126624
19,fractal_dimension_se,0.6776707837446759
29,fractal_dimension_worst,0.6425760627958614
17,concave points_se,0.5618237076418529
8,symmetry_mean,0.5181138182465869
