,feature_name,importance_value
27,concave points_worst,942.8308176830232
23,area_worst,638.9850578579127
26,concavity_worst,335.2821273212055
21,texture_worst,329.63093132495004
13,area_se,324.6579789441441
7,concave points_mean,280.02741594202195
1,texture_mean,271.65879287689353
22,perimeter_worst,190.31538094218482
20,radius_worst,177.5902518956439
4,smoothness_mean,144.41535507651568
24,smoothness_worst,105.9010823256946
15,compactness_se,78.45398259273249
0,radius_mean,66.88143664037328
18,symmetry_se,66.36954610157812
5,compactness_mean,62.15444498461352
9,fractal_dimension_mean,58.92107057450348
10,radius_se,44.360347815080665
8,symmetry_mean,39.58387356309455
3,area_mean,39.55446803949552
17,concave points_se,34.68417104031509
6,concavity_mean,34.46280903929215
28,symmetry_worst,33.95950882136191
12,perimeter_se,28.20121417355893
14,smoothness_se,25.698426214457964
11,texture_se,18.501927793450314
16,concavity_se,14.844669785183504
29,fractal_dimension_worst,13.483809977526281
25,compactness_worst,13.287726004667261
19,fractal_dimension_se,12.766422195673961
2,perimeter_mean,2.918874724755772
