,feature_name,importance_value
7,concave points_mean,30.495477901936663
22,perimeter_worst,24.676952894106282
23,area_worst,21.665514286211227
27,concave points_worst,18.86476480607322
20,radius_worst,16.32788831518495
6,concavity_mean,12.565245740006917
0,radius_mean,11.628491211293309
3,area_mean,10.265749134602736
2,perimeter_mean,8.2846179801302
13,area_se,6.930395891460544
26,concavity_worst,6.822427205656803
21,texture_worst,3.8764236408062045
25,compactness_worst,3.7475734034582655
1,texture_mean,3.6088009592474686
28,symmetry_worst,3.1462218504839607
5,compactness_mean,2.417962565952464
24,smoothness_worst,2.196903318261871
10,radius_se,2.156659453718558
16,concavity_se,1.4250995064021548
12,perimeter_se,1.333305720629228
4,smoothness_mean,1.1856191112929346
29,fractal_dimension_worst,0.9770910345353511
15,compactness_se,0.9434336948719112
17,concave points_se,0.8829767660664677
8,symmetry_mean,0.7979270110714647
11,texture_se,0.7281167043558552
18,symmetry_se,0.7144612561359067
19,fractal_dimension_se,0.573705610812715
9,fractal_dimension_mean,0.4947315185774481
14,smoothness_se,0.48196940405000366
