,feature_name,importance_value
21,texture_worst,1.1170902252197266
23,area_worst,1.0974136590957642
27,concave points_worst,1.0633565187454224
22,perimeter_worst,0.8779013156890869
13,area_se,0.8214834928512573
7,concave points_mean,0.6198738813400269
15,compactness_se,0.6187814474105835
26,concavity_worst,0.5628989934921265
17,concave points_se,0.4558514654636383
1,texture_mean,0.40118974447250366
4,smoothness_mean,0.35659125447273254
20,radius_worst,0.32543882727622986
28,symmetry_worst,0.2763347029685974
3,area_mean,0.2426213175058365
18,symmetry_se,0.1912900060415268
6,concavity_mean,0.14300201833248138
24,smoothness_worst,0.10925968736410141
5,compactness_mean,0.07903049886226654
10,radius_se,0.03872331604361534
25,compactness_worst,0.037924084812402725
16,concavity_se,0.03358079120516777
14,smoothness_se,0.025572126731276512
12,perimeter_se,0.024893708527088165
19,fractal_dimension_se,0.018996892496943474
8,symmetry_mean,0.014400508254766464
11,texture_se,0.013553248718380928
9,fractal_dimension_mean,0.013237932696938515
0,radius_mean,0.0
2,perimeter_mean,0.0
29,fractal_dimension_worst,0.0
