,feature_name,importance_value
22,perimeter_worst,1.1011879444122314
27,concave points_worst,0.9744426012039185
7,concave points_mean,0.9394398331642151
13,area_se,0.8338695168495178
21,texture_worst,0.8172566890716553
23,area_worst,0.7232981324195862
26,concavity_worst,0.694400429725647
15,compactness_se,0.4866873621940613
20,radius_worst,0.4487493932247162
1,texture_mean,0.38215339183807373
18,symmetry_se,0.3674536347389221
28,symmetry_worst,0.36636194586753845
24,smoothness_worst,0.3600214421749115
16,concavity_se,0.27228468656539917
4,smoothness_mean,0.19959034025669098
17,concave points_se,0.1943441480398178
25,compactness_worst,0.15042604506015778
8,symmetry_mean,0.10259497165679932
11,texture_se,0.056790485978126526
14,smoothness_se,0.049512311816215515
10,radius_se,0.04894965514540672
3,area_mean,0.036825284361839294
6,concavity_mean,0.03470742329955101
12,perimeter_se,0.03416593745350838
19,fractal_dimension_se,0.029044145718216896
29,fractal_dimension_worst,0.028441501781344414
9,fractal_dimension_mean,0.0
5,compactness_mean,0.0
2,perimeter_mean,0.0
0,radius_mean,0.0
