,feature_name,importance_value
1,V1,0.6106958819465519
14,V14,0.575733916906881
4,V4,0.512861789995796
8,V8,0.4164465798823149
13,V13,0.3704097266795791
10,V10,0.36846183504487096
11,V11,0.33668504019146395
19,V19,0.32826620630875364
25,V25,0.2802743216474363
12,V12,0.2758830464988517
18,V18,0.2460813509284397
26,V26,0.2164506553964761
28,V28,0.19994316978585613
6,V6,0.19727580943934422
24,V24,0.18573532429682174
17,V17,0.18215538766832753
29,Amount,0.18036184553956577
0,Time,0.17725305157573454
22,V22,0.1714366950534522
7,V7,0.13880926962990328
16,V16,0.13653633644786622
3,V3,0.13568753727632876
2,V2,0.13295860677781063
20,V20,0.11846776823295072
15,V15,0.11441189994786252
23,V23,0.10909830814022084
9,V9,0.10614141793304888
5,V5,0.08989881645114067
27,V27,0.0742929873418723
21,V21,0.0714473167284019
