,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,V1,0.9982912584998186,0.9965854367971516,0.9982912584998186,0.9974376183232873,325.0000476837158,7434910913.081431,7516452
1,V12,0.9930362932013155,0.9975352523616292,0.9930362932013155,0.9951304583617673,289.83116149902344,1810319168.7425377,12698652
2,V26,0.9965122947462051,0.9970724652041569,0.9965122947462051,0.9967813489985222,279.73103523254395,779254241.2752175,17978486
3,V14,0.9969804431024192,0.9977929396307175,0.9969804431024192,0.9973511269142148,292.93298721313477,739505942.1763668,23185021
4,V16,0.9981976288285758,0.9984773784851875,0.9981976288285758,0.9983227373906556,391.06011390686035,712918336.136255,28383603
5,V20,0.9976358508011188,0.9986083589324709,0.9976358508011188,0.9980331359064272,399.17778968811035,702740175.8624061,33710757
6,V5,0.9966176281263532,0.9981667846233455,0.9966176281263532,0.9972756991190906,382.51399993896484,675155764.6448623,38887630
7,V15,0.9975890359654974,0.9984056447149197,0.9975890359654974,0.9979274751593081,341.71605110168457,645895554.9396006,44066453
8,V3,0.9966644429619747,0.998103713634159,0.9966644429619747,0.9972720438867957,378.0560493469238,606916473.8694124,49164630
9,V7,0.9973900729141065,0.998385102071476,0.9973900729141065,0.9977958986768379,442.9817199707031,534426832.676257,54362328
10,V13,0.9973549617873905,0.9983309024530533,0.9973549617873905,0.9977681220432959,429.17704582214355,525749547.09810704,59538301
11,V22,0.9976592582189295,0.9979936634399056,0.9976592582189295,0.9978115858378098,441.01691246032715,522614107.8009071,64764474
12,V10,0.9970506653558513,0.9982089198895913,0.9970506653558513,0.9975190508167036,460.7739448547363,510076583.5305417,69992693
13,V18,0.9934576267219082,0.9978779716461554,0.9934576267219082,0.9954242112378505,484.3778610229492,509128383.970507,75204994
14,V9,0.9958568870475053,0.9982184742046892,0.9958568870475053,0.9968589906733144,496.3080883026123,508984544.4681313,80388029
15,V8,0.9974134803319172,0.9982086760385731,0.9974134803319172,0.997751003096351,490.92912673950195,387343257.8201903,85652531
16,V17,0.9967580726332175,0.9979132196885117,0.9967580726332175,0.9972649437376792,549.5672225952148,349325030.95375186,90897303
17,V21,0.9965474058729211,0.9978625815146852,0.9965474058729211,0.9971212681389778,575.3641128540039,347573480.31058145,96205191
18,V28,0.9961728871879498,0.9977910718758075,0.9961728871879498,0.9969159166819225,676.8331527709961,319809535.49483275,101612855
19,V23,0.9970272579380406,0.9978806029677887,0.9970272579380406,0.9974070964776606,637.7601623535156,282633061.4329036,106945831
20,V4,0.9973549617873905,0.9979428063790705,0.9973549617873905,0.9976251100029045,673.4979152679443,226313869.79881215,112084997
21,Time,0.9965122947462051,0.9968017860301007,0.9965122947462051,0.9966564243741572,673.349142074585,216600589.5545049,114485638
22,V27,0.9973783692052012,0.9980663007089811,0.9973783692052012,0.9976776494400557,711.1480236053467,172440657.61961344,119879730
23,V24,0.9973549617873905,0.9981704953576671,0.9973549617873905,0.9977086447374164,693.9966678619385,130863310.6676103,125131006
24,V25,0.9967346652154068,0.9984152627824964,0.9967346652154068,0.9974344883913661,755.2587985992432,110127264.19024116,130389230
25,V11,0.9965122947462051,0.9979982285526099,0.9965122947462051,0.9971645205732939,770.5702781677246,81261638.03794007,135549106
26,V19,0.9967931837599335,0.9978673032931461,0.9967931837599335,0.9972670635908937,799.5321750640869,64374993.50319995,140767237
27,Amount,0.995810072211884,0.9981431201833535,0.995810072211884,0.9967819927074097,808.7022304534912,57084573.59537653,142333816
28,V2,0.996278220568098,0.9978661268949506,0.996278220568098,0.9969702533196511,833.4190845489502,52371139.26289936,147490948
29,V6,0.9968282948866496,0.9984271044131238,0.9968282948866496,0.9974970645951731,906.4919948577881,35191765.88048626,152700137
