,feature_name,importance_value
1,V1,7434910913.081431
12,V12,1810319168.7425377
26,V26,779254241.2752175
14,V14,739505942.1763668
16,V16,712918336.136255
20,V20,702740175.8624061
5,V5,675155764.6448623
15,V15,645895554.9396006
3,V3,606916473.8694124
7,V7,534426832.676257
13,V13,525749547.09810704
22,V22,522614107.8009071
10,V10,510076583.5305417
18,V18,509128383.970507
9,V9,508984544.4681313
8,V8,387343257.8201903
17,V17,349325030.95375186
21,V21,347573480.31058145
28,V28,319809535.49483275
23,V23,282633061.4329036
4,V4,226313869.79881215
0,Time,216600589.5545049
27,V27,172440657.61961344
24,V24,130863310.6676103
25,V25,110127264.19024116
11,V11,81261638.03794007
19,V19,64374993.50319995
29,Amount,57084573.59537653
2,V2,52371139.26289936
6,V6,35191765.88048626
