,feature_name,importance_value
14,V14,178.54073961274793
17,V17,138.2140209611928
12,V12,116.73530740040472
4,V4,80.97549342598542
10,V10,73.85455758115191
1,V1,69.40976049295051
11,V11,64.872521902871
2,V2,53.458866220386255
16,V16,47.70231309401333
3,V3,31.61807608380093
7,V7,28.742319368481283
29,Amount,26.02811238708747
19,V19,23.369753882827474
9,V9,22.087690244633453
20,V20,19.17802633862079
18,V18,18.984821279979986
21,V21,18.59813050144959
26,V26,17.896018001594253
0,Time,16.489261864863355
13,V13,15.010572501727616
6,V6,14.088458849233957
15,V15,13.587823445537548
8,V8,13.001888880207902
23,V23,12.677521122282727
28,V28,10.965329377636438
25,V25,10.779405910629064
27,V27,10.49773693261437
5,V5,10.375139064399663
24,V24,10.231140286722841
22,V22,9.036302122958547
