,feature_name,importance_value
14,V14,176.74113779602678
17,V17,150.45723532747013
12,V12,119.54870078119771
10,V10,97.97861870330208
4,V4,81.12340858407308
11,V11,63.214326434521276
1,V1,53.49142094117954
16,V16,42.47328900735312
7,V7,32.105981923674136
3,V3,27.294853278669205
19,V19,25.497509361425845
29,Amount,23.527036259637097
2,V2,22.49977628883975
13,V13,20.91524118990049
18,V18,19.79327894736857
0,Time,19.35336168290085
9,V9,18.38302190326944
20,V20,17.72837514768868
6,V6,16.676060388704034
21,V21,15.85104583687873
15,V15,14.742083274835464
23,V23,14.649028200983233
26,V26,14.352438615865475
25,V25,14.272873402825892
28,V28,11.969722299807856
8,V8,11.819766868880864
5,V5,9.717449471229862
27,V27,9.565064293966877
22,V22,9.372426556891028
24,V24,8.886347507297803
