,feature_name,importance_value
14,V14,1.114404559135437
4,V4,0.9662664532661438
12,V12,0.5557158589363098
29,Amount,0.38799700140953064
10,V10,0.31176653504371643
11,V11,0.2995704710483551
19,V19,0.27106422185897827
20,V20,0.24785052239894867
3,V3,0.22335107624530792
22,V22,0.22312983870506287
16,V16,0.22229336202144623
8,V8,0.2156749814748764
7,V7,0.2107413113117218
5,V5,0.20914733409881592
13,V13,0.20514190196990967
0,Time,0.18231379985809326
25,V25,0.18149177730083466
26,V26,0.1729014664888382
28,V28,0.16534340381622314
2,V2,0.15761896967887878
21,V21,0.1483084261417389
24,V24,0.13226863741874695
6,V6,0.12685278058052063
1,V1,0.12381553649902344
15,V15,0.12001015990972519
9,V9,0.10584403574466705
23,V23,0.1033254861831665
18,V18,0.09227973222732544
17,V17,0.08970719575881958
27,V27,0.08843536674976349
