,Feature Name,Accuracy,Precision,Recall,F1 Score,Training Time,Shap Value,Storage
0,V14,0.9987828142738434,0.9986808834818889,0.9987828142738434,0.9987230382764963,4862.007856369019,1.114404559135437,7658695
1,V4,0.99916903666772,0.9991101693943917,0.99916903666772,0.9991280420406937,5295.607089996338,0.9662664532661438,12797861
2,V12,0.9993797034280163,0.99934305815887,0.9993797034280163,0.9993520262155492,6003.728866577148,0.5557158589363098,17980061
3,Amount,0.9994967405170698,0.9994757629661121,0.9994967405170698,0.99946387263311,6263.439893722534,0.38799700140953064,19546640
4,V10,0.9993445923013002,0.99930939785945,0.9993445923013002,0.9993079876048209,6330.2321434021,0.31176653504371643,24774859
5,V11,0.9995201479348805,0.9995018497472172,0.9995201479348805,0.9995054471394813,6693.9122676849365,0.2995704710483551,29934735
6,V19,0.9995669627705019,0.9995499487096615,0.9995669627705019,0.9995488743141591,6913.625240325928,0.27106422185897827,35152866
7,V20,0.9994850368081645,0.99946200244816,0.9994850368081645,0.9994531628685076,6964.927196502686,0.24785052239894867,40480020
8,V3,0.9994382219725431,0.9994139213956532,0.9994382219725431,0.9994139210699409,8643.894910812378,0.22335107624530792,45578197
9,V22,0.9995786664794073,0.9995636855227124,0.9995786664794073,0.9995646442540789,10731.436967849731,0.22312983870506287,50804370
10,V16,0.9995903701883126,0.9995814400725034,0.9995903701883126,0.999557165174996,10771.855115890503,0.22229336202144623,56002952
11,V8,0.9995903701883126,0.9995747470118925,0.9995903701883126,0.9995775336996988,11417.06895828247,0.2156749814748764,61267454
12,V7,0.9994382219725431,0.9994166362498934,0.9994382219725431,0.9994005498794167,11321.17486000061,0.2107413113117218,66465152
13,V5,0.9995552590615966,0.9995402829089481,0.9995552590615966,0.9995430112019217,11605.732202529907,0.20914733409881592,71642025
14,V13,0.9996254813150287,0.9996140407999894,0.9996254813150287,0.9996113169514028,12267.96293258667,0.20514190196990967,76817998
15,Time,0.9996137776061234,0.9996007023923685,0.9996137776061234,0.9996035456014055,12132.52305984497,0.18231379985809326,79218639
16,V25,0.9994382219725431,0.9994155262020021,0.9994382219725431,0.9994077017084098,13799.149990081787,0.18149177730083466,84476863
17,V26,0.9994967405170698,0.9994801525622823,0.9994967405170698,0.9994699803249788,14563.88807296753,0.1729014664888382,89756697
18,V28,0.9995786664794073,0.9995627382195909,0.9995786664794073,0.9995621032380525,15584.036111831665,0.16534340381622314,95164361
19,V2,0.9995084442259752,0.9994918870352263,0.9995084442259752,0.9994777680833553,15680.898904800415,0.15761896967887878,100321493
20,V21,0.9995201479348805,0.9995045007785004,0.9995201479348805,0.9994959453227141,16055.623292922974,0.1483084261417389,105629381
21,V24,0.9995903701883126,0.9995764412333434,0.9995903701883126,0.999577636554459,17214.969158172607,0.13226863741874695,110880657
22,V6,0.9993797034280163,0.9993481330357449,0.9993797034280163,0.9993391109080565,16142.693042755127,0.12685278058052063,116089846
23,V1,0.9994499256814484,0.9994269358942012,0.9994499256814484,0.999411009217878,16612.120151519775,0.12381553649902344,121154138
24,V15,0.9995318516437859,0.9995143654107611,0.9995318516437859,0.9995091786247746,18905.746936798096,0.12001015990972519,126332961
25,V9,0.9995552590615966,0.9995521241995173,0.9995552590615966,0.9995277013773277,19491.811990737915,0.10584403574466705,131515996
26,V23,0.9995669627705019,0.9995556853827058,0.9995669627705019,0.9995434825689293,20667.7188873291,0.1033254861831665,136848972
27,V18,0.9996488887328394,0.9996386096034141,0.9996488887328394,0.9996397323213156,21996.07014656067,0.09227973222732544,142061273
28,V17,0.9995084442259752,0.9994873970292514,0.9995084442259752,0.9994835198600964,21628.50785255432,0.08970719575881958,147306045
29,V27,0.9996722961506501,0.9996630115736038,0.9996722961506501,0.9996634867988878,22483.216762542725,0.08843536674976349,152700137
