,Feature Name,Accuracy,Training Time,Shap Value,Storage
0,volatile acidity,0.4666666666666667,168.29681396484375,0.002960473409604961,14921
1,sulphates,0.55,205.73186874389648,0.0024357397324511532,22761
2,chlorides,0.60625,195.01209259033203,0.001996729481009085,33651
3,alcohol,0.6666666666666666,241.38402938842773,0.0017280296719053745,41061
4,total sulfur dioxide,0.6625,249.18198585510254,0.0014666863105325411,49172
5,pH,0.6645833333333333,251.18279457092285,0.001259667119006198,56987
6,citric acid,0.6833333333333333,252.16984748840332,0.00124996676316707,64711
7,free sulfur dioxide,0.7041666666666667,245.50986289978027,0.001050349942054794,72200
8,density,0.6895833333333333,283.0810546875,0.0010254686893453884,84034
9,residual sugar,0.6583333333333333,289.5359992980957,0.0009605956697664826,90479
10,fixed acidity,0.6895833333333333,271.1670398712158,0.0006663698419914825,97165
11,volatile acidity,0.6895833333333333,307.71803855895996,0.002960473409604961,105200
12,sulphates,0.6833333333333333,282.14025497436523,0.0024357397324511532,113040
13,chlorides,0.69375,289.14880752563477,0.001996729481009085,123930
14,alcohol,0.6666666666666666,287.83273696899414,0.0017280296719053745,131340
15,total sulfur dioxide,0.6979166666666666,342.58031845092773,0.0014666863105325411,139451
16,pH,0.7020833333333333,332.0159912109375,0.001259667119006198,147266
17,citric acid,0.6854166666666667,332.3860168457031,0.00124996676316707,154990
18,free sulfur dioxide,0.7020833333333333,337.25595474243164,0.001050349942054794,162479
19,density,0.6541666666666667,368.0109977722168,0.0010254686893453884,174313
20,residual sugar,0.6729166666666667,340.84105491638184,0.0009605956697664826,180758
21,fixed acidity,0.6645833333333333,344.42806243896484,0.0006663698419914825,187444
